sample_id,question,ground_truth,baseline_answer,corrected_answer,baseline_correct,corrected_correct,flip_to_correct,n_claims,n_claims_supported,n_claims_contradicted,n_claims_uncertain,intervened,intervention_score,used_fallback
05491615,The vehicle is in front of who?,pedestrian,The vehicle (the truck) is in front of the pedestrians walking on the sidewalk.,The vehicle is in front of people with umbrellas.,True,False,0,5,0,1,4,1,0.402,0
14192896,Which side of the picture is the spectator on?,right,The spectator is on the right side of the picture.,Right side,True,True,0,5,2,1,2,1,0.266,0
03433692,Are there any bottles in the image?,yes,"Yes, there appears to be a bottle in the image, though it is not clearly identifiable.",Yes,True,True,0,5,0,0,5,1,0.35,0
0167377,Are there both helmets and motorcycles in this picture?,yes,"No, there are motorcycles in the picture, but there are no helmets visible.",Yes,False,True,1,5,2,1,2,1,0.266,0
09982030,What kind of food is below the vegetable near the carrots?,broth,The food below the vegetable near the carrots is a smooth soup made from the blended vegetables.,Blender mixture,False,False,0,5,2,1,2,1,0.266,0
07598996,What is the animal that is to the right of the black container?,giraffe,There is no animal to the right of the black container.,Giraffe,False,True,1,5,1,3,1,1,0.438,0
06222534,On which side is the statue?,right,There is no statue in the image.,There is no statue in the image.,False,False,0,5,4,0,1,0,0.07799999999999999,0
19359515,Is it indoors?,no,"No, it is not indoors.",No,True,True,0,5,1,2,2,1,0.386,0
03262245,Of what color are the bags to the right of the man?,black,There are no bags to the right of the man in the image.,There are no bags to the right of the man in the image.,False,False,0,5,3,1,1,0,0.19799999999999998,0
17397767,Is there a white truck or bus?,no,"No, there is no white truck or bus in the image.",No,True,True,0,5,1,2,2,1,0.386,0
01417011,Which side is the helmet on?,left,The helmet is on the left side of the image.,The helmet is on the left side of the image.,True,True,0,5,2,0,3,0,0.214,0
17596714,What is in front of the bushes?,train tracks,The railway tracks are in front of the bushes.,Railway track,False,False,0,5,2,1,2,1,0.266,0
08651263,What is the street sign on?,street light,The street sign is on the same pole as the clock.,The street sign is on the same pole as the clock.,False,False,0,5,2,0,3,0,0.214,0
11293734,Is there a lamb to the left of the ball?,no,"No, there is no lamb to the left of the ball in the image.","No, there is no lamb to the left of the ball in the image.",True,True,0,5,2,0,3,0,0.214,0
06566426,What is the man in?,canoe,The man is in a blue boat.,The man is in a blue boat.,False,False,0,5,2,0,3,0,0.214,0
161065162,Who is wearing the jeans?,man,"Based on the observations, it is not possible to determine who is wearing jeans in the image.","Based on the observations, it is not possible to determine who is wearing jeans in the image.",False,False,0,5,2,0,3,0,0.214,0
0365933,What is the color of the placemat in the top part of the photo?,cream colored,"There is no placemat in the top part of the photo, so the color cannot be determined.","There is no placemat in the top part of the photo, so the color cannot be determined.",False,False,0,5,3,0,2,0,0.146,0
18168885,Does she look at the ball in the top of the picture?,yes,"Yes, she looks at the ball in the top of the picture.",No,True,False,0,5,1,3,1,1,0.438,0
10682334,Is there food to the right of the tomato that the pepper is to the right of?,no,"No, there is no food to the right of the tomato because there is no pepper in the image, and thus no tomato to the right of it.","No, there is no food to the right of the tomato because there is no pepper in the image, and thus no tomato to the right of it.",True,True,0,5,5,0,0,0,0.009999999999999998,0
06564130,What is the device that he holds?,cell phone,The device he holds is a mobile phone.,Cell phone,False,True,1,5,2,2,1,1,0.318,0
16434006,What does the person that to the right of the boy wear?,blouse,"The person to the right of the boy wears a red shirt, blue jeans, and a black hat.","The person to the right of the boy wears a red shirt, blue jeans, and a black hat.",False,False,0,0,0,0,0,0,0.0,0
12252824,What is the color of the train to the left of the woman?,blue,The color of the train to the left of the woman is yellow.,The color of the train to the left of the woman is yellow.,False,False,0,5,3,0,2,0,0.146,0
0829456,What place was the image taken at?,street,"The image appears to have been taken at a city street during a cycling event or race, but the exact place cannot be identified from the image provided.","The image appears to have been taken at a city street during a cycling event or race, but the exact place cannot be identified from the image provided.",True,True,0,5,3,0,2,0,0.146,0
18602180,Are the clouds in the sky rainy or cloudy?,rainy,"The clouds in the sky appear to be cloudy, but they do not seem to be rainy.",Cloudy,True,False,0,5,2,1,2,1,0.266,0
08337624,Which side of the image is the man on?,left,The man is on the left side of the image.,The man is on the left side of the image.,True,True,0,5,4,0,1,0,0.078,0
03318431,What are the bleachers made of?,wood,The bleachers are made of wood.,The bleachers are made of wood.,True,True,0,5,2,0,3,0,0.214,0
09179577,What is located on top of the skateboard?,sneakers,The person's feet are located on top of the skateboard.,The person's feet are located on top of the skateboard.,False,False,0,0,0,0,0,0,0.0,0
09432410,What animal is striped?,cat,The animal that is striped in the image is a cat.,The animal that is striped in the image is a cat.,True,True,0,5,2,0,3,0,0.214,0
19104279,What is the girl playing with?,ball,The girl is playing tennis.,The girl is playing tennis.,False,False,0,5,3,1,1,0,0.198,0
096049,Is the woman to the left or to the right of the man that holds the racket?,right,The woman is to the right of the man that holds the racket.,The woman is to the right of the man that holds the racket.,True,True,0,5,4,0,1,0,0.07799999999999999,0
03493955,Is the silver car to the left or to the right of the people that are on the right side?,left,The silver car (the train) is to the left of the people on the right side.,The silver car (the train) is to the left of the people on the right side.,True,True,0,5,3,0,2,0,0.146,0
03437169,On which side of the image are the nuts?,right,The nuts are not visible in the image.,The nuts are not visible in the image.,False,False,0,5,3,0,2,0,0.146,0
06981173,What place is it?,display,It is a bathroom showroom or display area.,Bathroom,True,False,0,5,1,2,2,1,0.386,0
10763404,Are the utensils to the right of a refrigerator?,no,"No, the utensils are not to the right of a refrigerator.","No, the utensils are not to the right of a refrigerator.",True,True,0,5,3,0,2,0,0.146,0
19225232,Are there any fences or helmets?,no,"No, there are no fences or helmets in the image.","No, there are no fences or helmets in the image.",True,True,0,5,4,0,1,0,0.07799999999999999,0
05686508,Is the car to the left of the other car green or silver?,silver,The car to the left of the other car is silver.,silver,True,True,0,5,1,0,4,1,0.28200000000000003,0
08709099,Is the man to the left of the boat wearing a jacket?,no,"No, the man to the left of the boat is not wearing a jacket.","No, the man to the left of the boat is not wearing a jacket.",True,True,0,10,8,0,2,0,0.07799999999999999,0
091039290,Is the blue truck to the left of a person?,no,"No, the blue truck is not to the left of a person.",No,True,True,0,5,0,1,4,1,0.402,0
03581765,Is there either a small scooter or motorcycle?,no,"Yes, there are small scooters or motorcycles in the image.",No,False,True,1,5,1,1,3,1,0.334,0
03322739,Is the man to the left or to the right of the spectator on the left?,right,The man (the tennis player) is to the right of the spectator on the left.,The man (the tennis player) is to the right of the spectator on the left.,True,True,0,5,4,0,1,0,0.078,0
10259915,Does the sidewalk seem to be red and dirty?,no,The sidewalk seems to be red.,The sidewalk seems to be red.,False,False,0,5,3,1,1,0,0.19799999999999998,0
0682915,Does the nose that looks black look round and small?,yes,"Yes, the nose that looks black appears round, but it is not small.","Yes, the nose that looks black appears round, but it is not small.",True,True,0,5,2,0,3,0,0.214,0
13515619,What kind of furniture is to the left of the rug?,ottoman,The furniture to the left of the rug is a red leather ottoman and a television on a stand.,Red leather couch,True,False,0,5,1,0,4,1,0.28200000000000003,0
17560215,Who wears shoes?,man,"Most of the people on the platform appear to be wearing shoes, but without a clear view of all their feet, it is not possible to say definitively for every individual.","Most of the people on the platform appear to be wearing shoes, but without a clear view of all their feet, it is not possible to say definitively for every individual.",False,False,0,5,4,0,1,0,0.078,0
1972311,Is this a lamb or a cow?,lamb,This is a lamb.,Lamb,True,True,0,5,0,3,2,1,0.506,0
06146373,Is the toilet to the right of the food?,yes,"There is no food in the image, so the question cannot be answered based on the provided information.","There is no food in the image, so the question cannot be answered based on the provided information.",False,False,0,5,3,0,2,0,0.146,0
00930300,Do the shorts look black or red?,black,The shorts look black.,Black,True,True,0,5,2,1,2,1,0.266,0
12741575,Are there any salt shakers or batteries?,no,"No, there are no salt shakers or batteries in the image.","No, there are no salt shakers or batteries in the image.",True,True,0,5,2,0,3,0,0.214,0
09730771,What vehicle is the man in?,carriage,The man is in a horse-drawn carriage.,The man is in a horse-drawn carriage.,True,True,0,6,4,0,2,0,0.12333333333333334,0
04527826,Are both the cooking pot and the chair made of the same material?,yes,"No, the cooking pot and the chair are not made of the same material.",No,False,False,0,5,1,0,4,1,0.28200000000000003,0
11193931,Are the remote and the floor made of the same material?,no,"No, the remote and the floor are not made of the same material.","No, the remote and the floor are not made of the same material.",True,True,0,5,3,0,2,0,0.146,0
06328865,Is the green car in the bottom part or in the top of the picture?,bottom,The green car is in the bottom part of the picture.,Bottom,True,True,0,5,1,0,4,1,0.28200000000000003,0
05410113,Which side of the image is the television on?,left,The television is on the left side of the image.,The television is on the left side of the image.,True,True,0,5,3,1,1,0,0.198,0
00650121,What animal is on the chair on the right side of the picture?,cat,The animal on the chair on the right side of the picture is a cat.,The animal on the chair on the right side of the picture is a cat.,True,True,0,5,3,0,2,0,0.146,0
17949859,Is there any lettuce to the right of the carrot in the center of the image?,yes,"Yes, there is lettuce to the right of the carrot in the center of the image.","Yes, there is lettuce to the right of the carrot in the center of the image.",True,True,0,5,4,1,0,0,0.13,0
14669854,Are there controllers or beds?,no,"No, there are no controllers or beds in the image.",No,True,True,0,10,4,3,3,1,0.29200000000000004,0
05863853,Does the man in front of the end table appear to be standing?,no,"Yes, the man in front of the end table appears to be standing.","Yes, the man in front of the end table appears to be standing.",False,False,0,5,5,0,0,0,0.009999999999999998,0
133485,Are there any chairs to the right of the young child?,no,"No, there are no chairs to the right of the young child.",No,True,True,0,5,2,1,2,1,0.266,0
19954280,What vegetables are on the plate?,tomatoes,"The vegetables on the plate are broccoli, cherry tomatoes, celery, and carrot sticks.","The vegetables on the plate are broccoli, cherry tomatoes, celery, and carrot sticks.",True,True,0,5,4,0,1,0,0.078,0
08894679,Are there any boxes beside the device to the left of the mat?,yes,"Yes, there appear to be boxes beside the television to the left of the mat.","Yes, there appear to be boxes beside the television to the left of the mat.",True,True,0,5,4,0,1,0,0.078,0
18229012,What is located on top of the white table?,lamp,The white table has a plant and a few other small objects on top of it.,Lamp,False,True,1,5,0,0,5,1,0.35,0
17459063,Which place is it?,airport,"The image appears to be taken at an airport, but the exact location cannot be identified from the image provided.",Runway,True,False,0,5,0,3,2,1,0.506,0
03212804,What does the person wear?,shorts,The person wears swim trunks.,The person wears swim trunks.,False,False,0,5,4,0,1,0,0.078,0
13136918,Is the sky both blue and overcast?,no,"No, the sky is not both blue and overcast.",No,True,True,0,5,1,1,3,1,0.334,0
17853007,Is there any horse or sheep that is not gray?,no,"No, there is no horse or sheep that is not gray in the image.","No, there is no horse or sheep that is not gray in the image.",True,True,0,5,3,0,2,0,0.146,0
09928108,On which side is the umpire?,right,"The umpire is on the right side of the image, relative to the batter.","The umpire is on the right side of the image, relative to the batter.",True,True,0,5,3,0,2,0,0.146,0
05459303,Who is carrying the bag?,lady,Multiple people are carrying bags in the image.,Multiple people are carrying bags in the image.,False,False,0,5,3,0,2,0,0.146,0
0376680,Does the woman to the left of the man wear shorts?,yes,"No, the woman to the left of the man does not wear shorts.","No, the woman to the left of the man does not wear shorts.",False,False,0,5,2,0,3,0,0.214,0
0529198,Are there any chairs or computers in this scene?,yes,"Yes, there are chairs and computers in this scene.","Yes, there are chairs and computers in this scene.",True,True,0,5,2,0,3,0,0.214,0
00397762,What is the player that is to the left of the helmet preparing?,baseball bat,The player to the left of the helmet is preparing to hit the ball.,The player to the left of the helmet is preparing to hit the ball.,False,False,0,5,4,0,1,0,0.07799999999999999,0
10403875,On what kind of furniture is the cat?,table,The cat is sitting on a wooden table.,The cat is sitting on a wooden table.,True,True,0,5,3,0,2,0,0.146,0
16488440,Which kind of appliance is to the left of the lamp?,air conditioner,The appliance to the left of the lamp is a television.,The appliance to the left of the lamp is a television.,False,False,0,5,2,0,3,0,0.214,0
19494904,Are there both tables and couches in the picture?,yes,"Yes, there are both tables and couches in the picture.","Yes, there are both tables and couches in the picture.",True,True,0,5,3,0,2,0,0.146,0
1864177,"In which part is the person, the top or the bottom?",bottom,The person is in the bottom part of the image.,Bottom,True,True,0,5,2,1,2,1,0.266,0
