sample_id,question,ground_truth,baseline_answer,corrected_answer,baseline_correct,corrected_correct,flip_to_correct,n_claims,n_claims_supported,n_claims_contradicted,n_claims_uncertain,intervened,intervention_score,used_fallback
05491615,The vehicle is in front of who?,pedestrian,The vehicle (the truck) is in front of the pedestrians walking on the sidewalk.,The vehicle is in front of people with umbrellas.,True,False,0,5,0,1,4,1,0.402,0
14192896,Which side of the picture is the spectator on?,right,The spectator is on the right side of the picture.,Right side,True,True,0,5,3,1,1,1,0.19799999999999998,0
03433692,Are there any bottles in the image?,yes,"Yes, there is a bottle in the image.",No,True,False,0,5,1,1,3,1,0.334,0
0167377,Are there both helmets and motorcycles in this picture?,yes,"Yes, there are both helmets and motorcycles in this picture.",Yes,True,True,0,5,2,1,2,1,0.266,0
09982030,What kind of food is below the vegetable near the carrots?,broth,"The food below the vegetable near the carrots is the liquid in which the vegetables are cooking, likely water or broth.",Blender mixture,True,False,0,5,2,1,2,1,0.266,0
07598996,What is the animal that is to the right of the black container?,giraffe,The animal to the right of the black container is a giraffe.,Giraffe,True,True,0,5,1,3,1,1,0.438,0
06222534,On which side is the statue?,right,"The statues are on both sides of the tower, but the specific side cannot be determined from the given image.","The statues are on both sides of the tower, but the specific side cannot be determined from the given image.",False,False,0,5,4,0,1,0,0.07799999999999999,0
19359515,Is it indoors?,no,"No, it is not indoors.",No,True,True,0,5,1,2,2,1,0.386,0
03262245,Of what color are the bags to the right of the man?,black,There are no bags to the right of the man in the image.,There are no bags visible in the image.,False,False,0,5,1,2,2,1,0.386,0
17397767,Is there a white truck or bus?,no,"No, there is no white truck or bus in the image.",No,True,True,0,5,0,1,4,1,0.402,0
01417011,Which side is the helmet on?,left,The helmet is on the left side of the image.,The helmet is on the left side of the image.,True,True,0,5,3,0,2,0,0.146,0
17596714,What is in front of the bushes?,train tracks,The railway track is in front of the bushes.,Train tracks,False,True,1,5,2,0,3,1,0.214,0
08651263,What is the street sign on?,street light,The street sign is on the same pole as the clock.,The street sign is on the street light.,False,False,0,5,2,0,3,1,0.214,0
11293734,Is there a lamb to the left of the ball?,no,"No, there is no lamb to the left of the ball because there is no ball in the image.",No,True,True,0,5,2,0,3,1,0.214,0
06566426,What is the man in?,canoe,The man is in a boat.,boat,False,False,0,5,3,1,1,1,0.198,0
161065162,Who is wearing the jeans?,man,The person on the right side of the image is wearing jeans.,The person on the right side of the image is wearing jeans.,False,False,0,5,3,0,2,0,0.146,0
0365933,What is the color of the placemat in the top part of the photo?,cream colored,"There is no placemat in the top part of the photo, so the color cannot be determined.","There is no placemat in the top part of the photo, so the color cannot be determined.",False,False,0,5,3,0,2,0,0.146,0
18168885,Does she look at the ball in the top of the picture?,yes,"Yes, she looks at the ball in the top of the picture.",No,True,False,0,5,1,3,1,1,0.438,0
10682334,Is there food to the right of the tomato that the pepper is to the right of?,no,"No, there is no food to the right of the tomato. The items to the right of the tomato are a spoon and a fork.",No,True,True,0,5,2,0,3,1,0.214,0
06564130,What is the device that he holds?,cell phone,The device he holds is a mobile phone.,Phone,False,True,1,5,2,2,1,1,0.318,0
16434006,What does the person that to the right of the boy wear?,blouse,"The person to the right of the boy wears a red shirt, black pants, and a black hat.","The person to the right of the boy wears a red shirt, black pants, and a black hat.",False,False,0,5,4,1,0,0,0.13,0
12252824,What is the color of the train to the left of the woman?,blue,The color of the train to the left of the woman is yellow with blue accents.,The color of the train to the left of the woman is yellow with blue accents.,True,True,0,5,3,0,2,0,0.146,0
0829456,What place was the image taken at?,street,"The image appears to have been taken at a city location during a cycling event or race. However, the exact place cannot be identified from the image provided.","The image appears to have been taken at a city location during a cycling event or race. However, the exact place cannot be identified from the image provided.",False,False,0,5,3,0,2,0,0.146,0
18602180,Are the clouds in the sky rainy or cloudy?,rainy,The clouds in the sky appear to be cloudy but not necessarily rainy.,Cloudy,True,False,0,5,3,1,1,1,0.198,0
08337624,Which side of the image is the man on?,left,The man is on the left side of the image.,The man is on the left side of the image.,True,True,0,5,4,0,1,0,0.078,0
03318431,What are the bleachers made of?,wood,The bleachers are made of wood.,The bleachers are made of wood.,True,True,0,5,1,0,4,1,0.28200000000000003,0
09179577,What is located on top of the skateboard?,sneakers,A person is located on top of the skateboard.,The person's feet.,False,False,0,5,2,1,2,1,0.266,0
09432410,What animal is striped?,cat,The animal that is striped in the image is a cat.,Cat,True,True,0,5,2,0,3,1,0.214,0
19104279,What is the girl playing with?,ball,The girl is playing tennis.,Tennis,False,False,0,5,3,1,1,1,0.198,0
096049,Is the woman to the left or to the right of the man that holds the racket?,right,The woman is to the right of the man that holds the racket.,The woman is to the right of the man that holds the racket.,True,True,0,5,4,0,1,0,0.07799999999999999,0
03493955,Is the silver car to the left or to the right of the people that are on the right side?,left,The silver car is to the left of the people on the right side.,The silver car is to the left of the people on the right side.,True,True,0,5,3,0,2,0,0.146,0
03437169,On which side of the image are the nuts?,right,The nuts are not present in the image.,The nuts are not present in the image.,False,False,0,5,3,0,2,0,0.146,0
06981173,What place is it?,display,It is a bathroom showroom or store.,Bathroom,False,False,0,5,1,1,3,1,0.334,0
10763404,Are the utensils to the right of a refrigerator?,no,"No, the utensils are not to the right of a refrigerator.","No, the utensils are not to the right of a refrigerator.",True,True,0,5,3,0,2,0,0.146,0
19225232,Are there any fences or helmets?,no,"No, there are no fences or helmets in the image.","No, there are no fences or helmets in the image.",True,True,0,5,4,1,0,0,0.13,0
05686508,Is the car to the left of the other car green or silver?,silver,The car to the left of the other car is silver.,silver,True,True,0,5,1,1,3,1,0.334,0
08709099,Is the man to the left of the boat wearing a jacket?,no,"No, the man to the left of the boat is not wearing a jacket.","No, the man to the left of the boat is not wearing a jacket.",True,True,0,10,8,0,2,0,0.07799999999999999,0
091039290,Is the blue truck to the left of a person?,no,"No, the blue truck is not to the left of a person.",No,True,True,0,5,0,0,5,1,0.35,0
03581765,Is there either a small scooter or motorcycle?,no,"Yes, there are motorcycles in the image.",Yes,False,False,0,5,1,2,2,1,0.386,0
03322739,Is the man to the left or to the right of the spectator on the left?,right,The man is to the right of the spectator on the left.,The man is to the right of the spectator on the left.,True,True,0,5,4,0,1,0,0.078,0
10259915,Does the sidewalk seem to be red and dirty?,no,"Based on the observations, the sidewalk appears to have a reddish color, but it is not possible to definitively say whether it is dirty or not due to the water covering it.",No,True,True,0,5,3,1,1,1,0.19799999999999998,0
0682915,Does the nose that looks black look round and small?,yes,"Yes, the nose that looks black is round, but it is not small.",No,True,False,0,5,2,0,3,1,0.214,0
13515619,What kind of furniture is to the left of the rug?,ottoman,The furniture to the left of the rug is a red leather ottoman and a television on a stand.,Red leather couch,True,False,0,5,1,0,4,1,0.28200000000000003,0
17560215,Who wears shoes?,man,The people standing on the platform next to the train are wearing shoes.,The people standing on the platform next to the train are wearing shoes.,False,False,0,5,4,0,1,0,0.078,0
1972311,Is this a lamb or a cow?,lamb,This is a lamb.,Lamb,True,True,0,5,0,3,2,1,0.506,0
06146373,Is the toilet to the right of the food?,yes,"There is no food in the image, so the question cannot be answered based on the provided information.","There is no food in the image, so the question cannot be answered based on the provided information.",False,False,0,5,4,0,1,0,0.078,0
00930300,Do the shorts look black or red?,black,The shorts look black.,Black,True,True,0,5,3,1,1,1,0.198,0
12741575,Are there any salt shakers or batteries?,no,"No, there are no salt shakers or batteries in the image.","No, there are no salt shakers or batteries in the image.",True,True,0,5,3,0,2,0,0.146,0
09730771,What vehicle is the man in?,carriage,The man is in a horse-drawn carriage.,Carriage,True,True,0,5,3,1,1,1,0.198,0
04527826,Are both the cooking pot and the chair made of the same material?,yes,"No, the cooking pot and the chair are not made of the same material.",No,False,False,0,5,1,0,4,1,0.28200000000000003,0
11193931,Are the remote and the floor made of the same material?,no,"No, the remote and the floor are not made of the same material.",No,True,True,0,5,2,1,2,1,0.266,0
06328865,Is the green car in the bottom part or in the top of the picture?,bottom,The green car is in the bottom part of the picture.,bottom,True,True,0,5,1,0,4,1,0.28200000000000003,0
05410113,Which side of the image is the television on?,left,The television is on the left side of the image.,Left,True,True,0,5,3,1,1,1,0.19799999999999998,0
00650121,What animal is on the chair on the right side of the picture?,cat,The animal on the chair on the right side of the picture is a cat.,Cat,True,True,0,5,2,0,3,1,0.214,0
17949859,Is there any lettuce to the right of the carrot in the center of the image?,yes,"Yes, there is lettuce to the right of the carrot in the center of the image.","Yes, there is lettuce to the right of the carrot in the center of the image.",True,True,0,5,4,1,0,0,0.13,0
14669854,Are there controllers or beds?,no,"No, there are no controllers or beds in the image.",No,True,True,0,5,2,1,2,1,0.266,0
05863853,Does the man in front of the end table appear to be standing?,no,"Yes, the man in front of the end table appears to be standing.","Yes, the man in front of the end table appears to be standing.",False,False,0,5,5,0,0,0,0.009999999999999998,0
133485,Are there any chairs to the right of the young child?,no,"No, there are no chairs to the right of the young child.",No,True,True,0,5,3,1,1,1,0.19799999999999998,0
