sample_id,method,baseline_correct,corrected_correct,flip_to_correct,intervened,used_fallback,flip_to_wrong,image_id,question,ground_truth,question_type_structural,question_type_semantic,dominant_contradicted_type,has_contradicted_object_existence,has_contradicted_attribute,has_contradicted_spatial,has_contradicted_counting,has_contradicted_action,has_contradicted_text_ocr
14192896,E1,1,1,0,1,0,0,2355736,Which side of the picture is the spectator on?,right,query,attr,object_existence,1,0,0,0,0,0
19359515,E1,1,1,0,1,0,0,2381611,Is it indoors?,no,verify,global,object_existence,1,0,0,0,0,0
17397767,E1,1,1,0,1,0,0,2378563,Is there a white truck or bus?,no,logical,obj,object_existence,1,0,0,0,0,0
17596714,E1,0,1,1,1,0,0,2397873,What is in front of the bushes?,train tracks,query,rel,none,0,0,0,0,0,0
11293734,E1,1,1,0,1,0,0,2391802,Is there a lamb to the left of the ball?,no,verify,rel,none,0,0,0,0,0,0
161065162,E1,0,1,1,1,0,0,2349334,Who is wearing the jeans?,man,query,rel,none,0,0,0,0,0,0
18168885,E1,1,1,0,1,0,0,61533,Does she look at the ball in the top of the picture?,yes,verify,rel,object_existence,1,0,0,0,0,0
10682334,E1,1,1,0,1,0,0,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,verify,rel,none,0,0,0,0,0,0
16434006,E1,0,1,1,1,0,0,1159963,What does the person that to the right of the boy wear?,blouse,query,rel,spatial,0,0,1,0,0,0
12252824,E1,1,0,0,1,0,1,2405244,What is the color of the train to the left of the woman?,blue,query,attr,none,0,0,0,0,0,0
18602180,E1,1,0,0,1,0,1,2404083,Are the clouds in the sky rainy or cloudy?,rainy,choose,attr,object_existence,1,0,0,0,0,0
19104279,E1,0,1,1,1,0,0,2345050,What is the girl playing with?,ball,query,rel,object_existence,1,0,0,0,0,0
10763404,E1,1,1,0,1,0,0,1159296,Are the utensils to the right of a refrigerator?,no,verify,rel,none,0,0,0,0,0,0
19225232,E1,1,1,0,1,0,0,2342134,Are there any fences or helmets?,no,logical,obj,object_existence,1,0,0,0,0,0
