sample_id,claim_id,claim_text,claim_type,true_status,confidence
05491615,claim_0,"{'claim': 'There is a truck in the center of the image.', 'type': 'object_existence'}",unknown,CONTRADICTED,0.9
05491615,claim_1,"{'claim': 'People are walking on the sidewalk to the right of the truck.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
05491615,claim_2,"{'claim': 'A person holding an umbrella is standing near the truck.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
05491615,claim_3,"{'claim': 'The truck has a green traffic light above it.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
05491615,claim_4,"{'claim': 'The street sign indicates ""Washington Pl.""', 'type': 'text_ocr'}",unknown,UNCERTAIN,0.5
14192896,claim_5,"{'claim': 'The umpire is positioned on the left side of the image.', 'type': 'object_existence'}",unknown,CONTRADICTED,0.9
14192896,claim_6,"{'claim': 'The catcher is wearing protective gear and is in the center of the image.', 'type': 'action'}",unknown,SUPPORTED,0.9
14192896,claim_7,"{'claim': 'The batter is on the right side of the image.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
14192896,claim_8,"{'claim': 'There is a spectator sitting on the grass behind the fence on the right side of the image.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
14192896,claim_9,"{'claim': 'The fence is visible in the background on the right side of the image.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
03433692,claim_10,"{'claim': 'There is an open suitcase with various items inside.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
03433692,claim_11,"{'claim': 'The floor has scattered clothing and other belongings.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
03433692,claim_12,"{'claim': 'A laptop is placed on top of a closed suitcase.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
03433692,claim_13,"{'claim': 'There are small rectangular objects that appear to be bottles near the open suitcase.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
03433692,claim_14,"{'claim': 'The objects near the suitcase have labels and caps, which are typical features of bottles.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
0167377,claim_15,"{'claim': 'There are multiple motorcycles parked in the foreground.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
0167377,claim_16,"{'claim': 'Some motorcycles have helmets hanging from their handles.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
0167377,claim_17,"{'claim': 'The scene appears to be a night market with shops in the background.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
0167377,claim_18,"{'claim': 'People are walking around the area.', 'type': 'action'}",unknown,SUPPORTED,0.9
0167377,claim_19,"{'claim': ""The lighting suggests it's nighttime."", 'type': 'object_existence'}",unknown,CONTRADICTED,0.9
09982030,claim_20,"{'claim': 'The image shows a pot with chopped vegetables.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
09982030,claim_21,"{'claim': 'There are carrots visible in the pot.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
09982030,claim_22,"{'claim': 'Below the carrots, there appears to be a yellowish mixture.', 'type': 'spatial'}",unknown,UNCERTAIN,0.5
09982030,claim_23,"{'claim': 'This mixture is being blended in a blender.', 'type': 'object_existence'}",unknown,CONTRADICTED,0.9
09982030,claim_24,"{'claim': 'The blender is placed on a wooden surface.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
07598996,claim_25,"{'claim': 'There are three giraffes in the image.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
07598996,claim_26,"{'claim': 'The black container is hanging from the ceiling.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
07598996,claim_27,"{'claim': 'The giraffe to the right of the black container is the smallest.', 'type': 'spatial'}",unknown,CONTRADICTED,0.9
07598996,claim_28,"{'claim': 'The giraffe to the right of the black container is closest to the brick wall.', 'type': 'spatial'}",unknown,CONTRADICTED,0.9
07598996,claim_29,"{'claim': 'The giraffe to the right of the black container has a lighter pattern on its neck.', 'type': 'spatial'}",unknown,CONTRADICTED,0.9
06222534,claim_30,"{'claim': 'The clock face is positioned on the front of the tower.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
06222534,claim_31,"{'claim': 'There is a window below the clock face.', 'type': 'spatial'}",unknown,SUPPORTED,0.9
06222534,claim_32,"{'claim': 'The tower has a pointed roof.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
06222534,claim_33,"{'claim': 'There are decorative elements around the clock face.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
06222534,claim_34,"{'claim': 'The statue is located on the right side of the image when facing the tower.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
19359515,claim_35,"{'claim': 'The sky is blue with white clouds.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
19359515,claim_36,"{'claim': 'There are buildings and a parking lot visible.', 'type': 'object_existence'}",unknown,SUPPORTED,0.9
19359515,claim_37,"{'claim': 'There are cars parked in the lot.', 'type': 'object_existence'}",unknown,CONTRADICTED,0.9
19359515,claim_38,"{'claim': 'The scene includes a train on tracks.', 'type': 'object_existence'}",unknown,CONTRADICTED,0.9
19359515,claim_39,"{'claim': 'The ground is paved and there are no visible windows or interior structures.', 'type': 'attribute'}",unknown,UNCERTAIN,0.5
03262245,claim_40,"{'claim': 'The individuals are wearing red jackets with white crosses.', 'type': 'action'}",unknown,SUPPORTED,0.9
03262245,claim_41,"{'claim': 'There are six people in the image.', 'type': 'object_existence'}",unknown,CONTRADICTED,0.9
