sample_id,method,baseline_correct,corrected_correct,flip_to_correct,intervened,used_fallback,flip_to_wrong,image_id,question,ground_truth,question_type_structural,question_type_semantic
14192896,E1,1,1,0,1,0,0,2355736,Which side of the picture is the spectator on?,right,query,attr
19359515,E1,1,1,0,1,0,0,2381611,Is it indoors?,no,verify,global
17397767,E1,1,1,0,1,0,0,2378563,Is there a white truck or bus?,no,logical,obj
17596714,E1,0,1,1,1,0,0,2397873,What is in front of the bushes?,train tracks,query,rel
11293734,E1,1,1,0,1,0,0,2391802,Is there a lamb to the left of the ball?,no,verify,rel
161065162,E1,0,1,1,1,0,0,2349334,Who is wearing the jeans?,man,query,rel
18168885,E1,1,1,0,1,0,0,61533,Does she look at the ball in the top of the picture?,yes,verify,rel
10682334,E1,1,1,0,1,0,0,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,verify,rel
16434006,E1,0,1,1,1,0,0,1159963,What does the person that to the right of the boy wear?,blouse,query,rel
12252824,E1,1,0,0,1,0,1,2405244,What is the color of the train to the left of the woman?,blue,query,attr
18602180,E1,1,0,0,1,0,1,2404083,Are the clouds in the sky rainy or cloudy?,rainy,choose,attr
19104279,E1,0,1,1,1,0,0,2345050,What is the girl playing with?,ball,query,rel
10763404,E1,1,1,0,1,0,0,1159296,Are the utensils to the right of a refrigerator?,no,verify,rel
19225232,E1,1,1,0,1,0,0,2342134,Are there any fences or helmets?,no,logical,obj
10259915,E1,1,1,0,1,0,0,2368742,Does the sidewalk seem to be red and dirty?,no,logical,attr
13515619,E1,1,0,0,1,0,1,2397987,What kind of furniture is to the left of the rug?,ottoman,query,rel
17560215,E1,0,1,1,1,0,0,2359451,Who wears shoes?,man,query,rel
1972311,E1,1,1,0,1,0,0,2387777,Is this a lamb or a cow?,lamb,choose,cat
12741575,E1,1,1,0,1,0,0,2378292,Are there any salt shakers or batteries?,no,logical,obj
11193931,E1,1,1,0,1,0,0,2401803,Are the remote and the floor made of the same material?,no,compare,attr
17949859,E1,1,1,0,1,0,0,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,verify,rel
14669854,E1,1,1,0,1,0,0,2337103,Are there controllers or beds?,no,logical,obj
133485,E1,1,1,0,1,0,0,2409219,Are there any chairs to the right of the young child?,no,verify,rel
19954280,E1,1,1,0,1,0,0,2406002,What vegetables are on the plate?,tomatoes,query,rel
18229012,E1,0,1,1,1,0,0,2402333,What is located on top of the white table?,lamp,query,rel
17459063,E1,1,1,0,1,0,0,2413541,Which place is it?,airport,query,global
13136918,E1,1,1,0,1,0,0,2406090,Is the sky both blue and overcast?,no,logical,attr
17853007,E1,1,1,0,1,0,0,2337616,Is there any horse or sheep that is not gray?,no,logical,obj
10403875,E1,1,1,0,1,0,0,2327830,On what kind of furniture is the cat?,table,query,rel
16488440,E1,0,1,1,1,0,0,2321052,Which kind of appliance is to the left of the lamp?,air conditioner,query,rel
19494904,E1,0,1,1,1,0,0,2365760,Are there both tables and couches in the picture?,yes,logical,obj
1864177,E1,1,1,0,1,0,0,2322984,"In which part is the person, the top or the bottom?",bottom,choose,attr
14275115,E1,0,1,1,1,0,0,2398835,Does the chair have a different color than the headband?,yes,compare,attr
14816347,E1,1,1,0,1,0,0,2363629,Is there any bear in the image?,yes,verify,obj
14381909,E1,1,1,0,1,0,0,2403590,Is the woman to the right or to the left of the glasses that are to the left of the train?,left,choose,rel
13764117,E1,1,1,0,1,0,0,2401635,Are there any teddy bears on top of the bed?,no,verify,rel
161036696,E1,1,1,0,1,0,0,2368963,Is the patterned curtain behind the dresser open and long?,no,logical,attr
1366354,E1,1,1,0,1,0,0,2349328,How is the weather?,sunny,query,global
16811715,E1,1,1,0,1,0,0,2378978,Is the sky clear or foggy?,clear,choose,attr
10882926,E1,1,0,0,1,0,1,2385070,What do the end table and the frame have in common?,material,compare,attr
14124503,E1,1,1,0,1,0,0,1592427,Are there either trains or trailers in this scene?,no,logical,obj
11298977,E1,1,1,0,1,0,0,2341585,Is the woman in front of the people using a computer?,no,verify,rel
15242425,E1,0,1,1,1,0,0,2387376,Of which color is the sky?,dark,query,attr
12171112,E1,1,1,0,1,0,0,2367977,"What is this, an oven or a dishwasher?",dishwasher,choose,cat
131059645,E1,1,1,0,1,0,0,2399053,What is the man on?,bench,query,rel
14524305,E1,1,1,0,1,0,0,2407279,What is the brown bear balancing on?,log,query,rel
13430682,E1,1,1,0,1,0,0,2413411,Do you see onions in this photograph?,no,verify,obj
11139796,E1,1,1,0,1,0,0,2344439,Is the bicycle to the right or to the left of the person that looks blonde?,right,choose,rel
141036087,E1,1,1,0,1,0,0,2392869,What is the person holding?,surfboard,query,rel
171034612,E1,1,1,0,1,0,0,2344782,Are there tablecloths or bowls?,no,logical,obj
11119089,E1,1,1,0,1,0,0,2404154,Is the sauce on top of a pizza slice?,yes,verify,rel
17667821,E1,0,1,1,1,0,0,2393949,Who is holding the device that looks gray and silver?,girl,query,rel
1573911,E1,1,1,0,1,0,0,2384811,Does the man's hair appear to be black or light brown?,black,choose,attr
10587792,E1,1,1,0,1,0,0,2335112,What is the bottle on?,counter,query,rel
13363918,E1,1,1,0,1,0,0,2337535,Are there both steam and smoke?,yes,logical,obj
11354848,E1,1,1,0,1,0,0,2382462,Does the jacket have brown color?,yes,verify,attr
11385575,E1,1,1,0,1,0,0,2326388,What animal is this child on?,horse,query,rel
16742353,E1,1,1,0,1,0,0,2378984,Are there both chairs and windows in the image?,no,logical,obj
15425887,E1,1,1,0,1,0,0,2363931,Which side of the photo is the kid on?,left,query,attr
10660951,E1,1,1,0,1,0,0,2366958,Do you see white plates or mugs?,no,logical,obj
15586374,E1,1,1,0,1,0,0,2352617,What is located on top of the bed?,pillow,query,rel
13425365,E1,1,1,0,1,0,0,2412682,On which side is the bicycle?,right,query,attr
13226655,E1,0,1,1,1,0,0,2367978,On which side of the image is the yellow vegetable?,left,query,attr
19693907,E1,0,0,0,1,0,0,2382366,What's the man holding?,fish,query,rel
10611191,E1,1,1,0,1,0,0,2368747,Is it outdoors?,yes,verify,global
1645076,E1,1,1,0,1,0,0,2387991,Are there any blankets?,yes,verify,obj
15978167,E1,0,1,1,1,0,0,2365868,What's the porch made of?,brick,query,attr
13497067,E1,1,1,0,1,0,0,2378836,What is the pepper shaker that is to the left of the mug made of?,plastic,query,attr
18782434,E1,0,0,0,1,0,0,2356933,What do the mug and the tablecloth have in common?,color,compare,attr
11524226,E1,1,1,0,1,0,0,2415972,Are there either juice boxes or toothbrushes in the scene?,no,logical,obj
12772816,E1,0,1,1,1,0,0,2342151,What is the appliance in the kitchen?,refrigerator,query,rel
16661127,E1,1,1,0,1,0,0,2336505,Is the door tan or is it maroon?,maroon,choose,attr
10742293,E1,1,1,0,1,0,0,2369432,On which side of the picture is the boat?,right,query,attr
14202781,E1,1,1,0,1,0,0,2345598,What is the piece of clothing that is black called?,jacket,query,cat
1886024,E1,0,1,1,1,0,0,2410380,Do you see any grass there that is brown?,yes,verify,obj
181000995,E1,1,1,0,1,0,0,4633,What item of furniture is to the right of the fruit?,chair,query,rel
1167999,E1,0,1,1,1,0,0,1575,Which place is it?,river,query,global
16350496,E1,1,1,0,1,0,0,2365644,What clothing item is long sleeved?,jacket,query,cat
18484260,E1,1,1,0,1,0,0,2404247,Is there either a triangular pizza or sandwich in this photo?,no,logical,obj
16535089,E1,1,1,0,1,0,0,2407870,Does the motorbike on the road look black?,no,verify,attr
14389529,E1,1,1,0,1,0,0,2410973,Are there either curtains or towels that are white?,yes,logical,obj
13726900,E1,0,0,0,1,0,0,2375648,Are there either cabinets or towels in this scene?,yes,logical,obj
19992444,E1,1,1,0,1,0,0,2376382,Are there any clocks to the right of the jar that is to the right of the box?,yes,verify,rel
11908666,E1,0,0,0,1,0,0,2357279,What color is the towel on the right side of the photo?,brown,query,attr
10123004,E1,1,1,0,1,0,0,2332332,"In which part is the flag, the top or the bottom?",top,choose,attr
14144547,E1,0,0,0,1,0,0,2324283,What kind of vehicle is it?,car,query,cat
19501031,E1,0,1,1,1,0,0,2394408,Are there both a door and window in the image?,no,logical,obj
17746156,E1,1,1,0,1,0,0,2368062,What color is the shirt that the boy is in?,white,query,attr
11196211,E1,0,0,0,1,0,0,2399024,What are the men to the left of the horse wearing?,cowboy hat,query,rel
15641002,E1,1,0,0,1,0,1,2334745,Is there food to the right of the food that is lying on top of the plate?,yes,verify,rel
10230544,E1,1,1,0,1,0,0,2416765,Do you see both a door and a window?,yes,logical,obj
11499909,E1,1,1,0,1,0,0,2333498,Do you see both cars and umbrellas there?,yes,logical,obj
13368717,E1,1,1,0,1,0,0,2411178,Is the poster above the books?,yes,verify,rel
12565565,E1,1,1,0,1,0,0,2378833,Are there boats in the image?,no,verify,obj
19695032,E1,0,0,0,1,0,0,2343965,Which place is it?,lake,query,global
13773559,E1,1,0,0,1,0,1,2397981,Do you see cars or clocks there?,yes,logical,obj
10599873,E1,1,0,0,1,0,1,2385133,How is the vehicle that is parked by the sidewalk called?,bus,query,rel
11183569,E1,1,1,0,1,0,0,2365049,What is the purse on?,bench,query,rel
11985230,E1,1,1,0,1,0,0,2386099,What is on the table?,glass,query,rel
11611800,E1,0,0,0,1,0,0,2372163,What is the table in front of?,clock,query,rel
17387034,E1,0,0,0,1,0,0,2357841,What kind of sign is on the post?,street sign,query,rel
15135493,E1,1,1,0,1,0,0,2410392,What does the man read?,paper,query,rel
17726909,E1,0,0,0,1,0,0,2349045,Is the man to the right or to the left of the people that are wearing glasses?,left,choose,rel
15776149,E1,1,1,0,1,0,0,2319436,What color is the fruit to the left of the bowl?,yellow,query,attr
18437330,E1,0,1,1,1,0,0,2380135,What is sitting in the bowl?,sauce,query,rel
