sample_id,image_id,question,ground_truth,question_type_structural,question_type_semantic,n_claims_total,claims_total_object_existence,claims_supported_object_existence,claims_contradicted_object_existence,claims_uncertain_object_existence,claims_total_attribute,claims_supported_attribute,claims_contradicted_attribute,claims_uncertain_attribute,claims_total_spatial,claims_supported_spatial,claims_contradicted_spatial,claims_uncertain_spatial,claims_total_counting,claims_supported_counting,claims_contradicted_counting,claims_uncertain_counting,claims_total_action,claims_supported_action,claims_contradicted_action,claims_uncertain_action,claims_total_text_ocr,claims_supported_text_ocr,claims_contradicted_text_ocr,claims_uncertain_text_ocr,dominant_contradicted_type,has_any_contradiction
5491615,2374257,The vehicle is in front of who?,pedestrian,query,rel,5,1,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
14192896,2355736,Which side of the picture is the spectator on?,right,query,attr,5,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
3433692,2340617,Are there any bottles in the image?,yes,verify,obj,5,2,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
167377,2351365,Are there both helmets and motorcycles in this picture?,yes,logical,obj,5,2,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
9982030,2407698,What kind of food is below the vegetable near the carrots?,broth,query,rel,5,3,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
7598996,2375491,What is the animal that is to the right of the black container?,giraffe,query,rel,5,1,1,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,spatial,1
6222534,2389835,On which side is the statue?,right,query,attr,5,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
19359515,2381611,Is it indoors?,no,verify,global,5,3,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
3262245,2409000,Of what color are the bags to the right of the man?,black,query,attr,5,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
17397767,2378563,Is there a white truck or bus?,no,logical,obj,5,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,object_existence,1
