sample_id,claim_id,claim_text,claim_type,true_status,confidence
05491615,05491615_0,There is a truck in the center of the image.,object_existence,CONTRADICTED,0.9
05491615,05491615_1,People are walking on the sidewalk to the right of the truck.,spatial,UNCERTAIN,0.5
05491615,05491615_2,A person holding an umbrella is standing near the truck.,spatial,UNCERTAIN,0.5
05491615,05491615_3,The truck has a green traffic light above it.,spatial,UNCERTAIN,0.5
05491615,05491615_4,"The street sign indicates ""Washington Pl.""",text_ocr,UNCERTAIN,0.5
14192896,14192896_0,The umpire is positioned on the left side of the image.,object_existence,CONTRADICTED,0.9
14192896,14192896_1,The catcher is wearing protective gear and is in the center of the image.,action,SUPPORTED,0.9
14192896,14192896_2,The batter is on the right side of the image.,object_existence,SUPPORTED,0.9
14192896,14192896_3,There is a spectator sitting on the grass behind the fence on the right side of the image.,spatial,UNCERTAIN,0.5
14192896,14192896_4,The fence is visible in the background on the right side of the image.,attribute,UNCERTAIN,0.5
03433692,03433692_0,There is an open suitcase with various items inside.,attribute,UNCERTAIN,0.5
03433692,03433692_1,The floor has scattered clothing and other belongings.,attribute,UNCERTAIN,0.5
03433692,03433692_2,A laptop is placed on top of a closed suitcase.,spatial,UNCERTAIN,0.5
03433692,03433692_3,There are small rectangular objects that appear to be bottles near the open suitcase.,spatial,UNCERTAIN,0.5
03433692,03433692_4,"The objects near the suitcase have labels and caps, which are typical features of bottles.",spatial,UNCERTAIN,0.5
0167377,0167377_0,There are multiple motorcycles parked in the foreground.,attribute,UNCERTAIN,0.5
0167377,0167377_1,Some motorcycles have helmets hanging from their handles.,object_existence,SUPPORTED,0.9
0167377,0167377_2,The scene appears to be a night market with shops in the background.,attribute,UNCERTAIN,0.5
0167377,0167377_3,People are walking around the area.,action,SUPPORTED,0.9
0167377,0167377_4,The lighting suggests it's nighttime.,object_existence,CONTRADICTED,0.9
09982030,09982030_0,The image shows a pot with chopped vegetables.,object_existence,SUPPORTED,0.9
09982030,09982030_1,There are carrots visible in the pot.,object_existence,SUPPORTED,0.9
09982030,09982030_2,"Below the carrots, there appears to be a yellowish mixture.",spatial,UNCERTAIN,0.5
09982030,09982030_3,This mixture is being blended in a blender.,object_existence,CONTRADICTED,0.9
09982030,09982030_4,The blender is placed on a wooden surface.,attribute,UNCERTAIN,0.5
07598996,07598996_0,There are three giraffes in the image.,object_existence,SUPPORTED,0.9
07598996,07598996_1,The black container is hanging from the ceiling.,attribute,UNCERTAIN,0.5
07598996,07598996_2,The giraffe to the right of the black container is the smallest.,spatial,CONTRADICTED,0.9
07598996,07598996_3,The giraffe to the right of the black container is closest to the brick wall.,spatial,CONTRADICTED,0.9
07598996,07598996_4,The giraffe to the right of the black container has a lighter pattern on its neck.,spatial,CONTRADICTED,0.9
06222534,06222534_0,The clock face is positioned on the front of the tower.,object_existence,SUPPORTED,0.9
06222534,06222534_1,There is a window below the clock face.,spatial,SUPPORTED,0.9
06222534,06222534_2,The tower has a pointed roof.,object_existence,SUPPORTED,0.9
06222534,06222534_3,There are decorative elements around the clock face.,attribute,UNCERTAIN,0.5
06222534,06222534_4,The statue is located on the right side of the image when facing the tower.,object_existence,SUPPORTED,0.9
19359515,19359515_0,The sky is blue with white clouds.,attribute,UNCERTAIN,0.5
19359515,19359515_1,There are buildings and a parking lot visible.,object_existence,SUPPORTED,0.9
19359515,19359515_2,There are cars parked in the lot.,object_existence,CONTRADICTED,0.9
19359515,19359515_3,The scene includes a train on tracks.,object_existence,CONTRADICTED,0.9
19359515,19359515_4,The ground is paved and there are no visible windows or interior structures.,attribute,UNCERTAIN,0.5
03262245,03262245_0,The individuals are wearing red jackets with white crosses.,action,SUPPORTED,0.9
03262245,03262245_1,There are six people in the image.,object_existence,CONTRADICTED,0.9
03262245,03262245_2,The people are standing on skis.,action,SUPPORTED,0.9
03262245,03262245_3,The background appears to be a snowy landscape.,attribute,UNCERTAIN,0.5
03262245,03262245_4,The individuals are wearing helmets.,action,SUPPORTED,0.9
17397767,17397767_0,The vehicle has a blue and beige color scheme.,attribute,UNCERTAIN,0.5
17397767,17397767_1,"The text ""BLOW HORN"" is prominently displayed on the back of the vehicle.",text_ocr,UNCERTAIN,0.5
17397767,17397767_2,The vehicle has a rectangular shape typical of a truck.,object_existence,CONTRADICTED,0.9
17397767,17397767_3,There are no windows that resemble those of a bus.,object_existence,SUPPORTED,0.9
17397767,17397767_4,"The vehicle has a single cab and a flatbed, which is characteristic of a truck.",object_existence,CONTRADICTED,0.9
01417011,01417011_0,The helmet is worn by the person on the left.,object_existence,SUPPORTED,0.9
01417011,01417011_1,The helmet is black in color.,attribute,UNCERTAIN,0.5
01417011,01417011_2,The person wearing the helmet is crouched down near the goal net.,spatial,UNCERTAIN,0.5
01417011,01417011_3,The helmet is positioned on the head of the person in the foreground.,attribute,UNCERTAIN,0.5
01417011,01417011_4,The helmet is clearly visible and distinct from other objects in the image.,object_existence,SUPPORTED,0.9
17596714,17596714_0,The train is on the elevated track.,object_existence,SUPPORTED,0.9
17596714,17596714_1,There is a curved section of railway track in the foreground.,attribute,UNCERTAIN,0.5
17596714,17596714_2,The bushes are green and leafy.,attribute,SUPPORTED,0.9
17596714,17596714_3,The sky is partly cloudy with patches of blue.,attribute,UNCERTAIN,0.5
17596714,17596714_4,The elevated track is supported by concrete pillars.,object_existence,CONTRADICTED,0.9
08651263,08651263_0,The street sign is attached to a pole.,text_ocr,UNCERTAIN,0.5
08651263,08651263_1,The pole has a decorative top.,object_existence,SUPPORTED,0.9
