sample_id,question,ground_truth,baseline_answer,corrected_answer,baseline_correct,corrected_correct,flip_to_correct,n_claims,n_claims_supported,n_claims_contradicted,n_claims_uncertain,intervened,intervention_score,used_fallback
2650,Is there a dining table in the image?,no,"No, there is no dining table in the image.",No,True,True,0,5,1,2,2,1,0.386,0
1153,Is there a chair in the image?,yes,"Yes, there is likely a chair in the image, as the child is seated at a table.","Yes, there is a chair in the image.",True,True,0,5,0,1,4,1,0.402,0
2827,Is there a backpack in the image?,yes,"Yes, there is a backpack in the image.","Yes, there is a backpack in the image.",True,True,0,5,1,2,2,1,0.386,0
105,Is there a person in the image?,yes,"Yes, there is a person in the image.",Yes,True,True,0,5,0,1,4,1,0.402,0
366,Is there a knife in the image?,no,"No, there is no knife in the image.",No,True,True,0,5,1,1,3,1,0.334,0
579,Is there a car in the image?,yes,"No, there is no car in the image.","Yes, there is a car in the image.",False,True,1,5,1,3,1,1,0.438,0
1783,Is there a person in the image?,yes,"Yes, there is a person in the image.","Yes, there is a person in the image.",True,True,0,5,1,0,4,1,0.28200000000000003,0
967,Is there a teddy bear in the image?,yes,"No, there is no teddy bear in the image.","Yes, there is a teddy bear in the image.",False,True,1,5,0,1,4,1,0.402,0
2678,Is there a car in the image?,no,"No, there is no car in the image.",No,True,True,0,5,1,0,4,1,0.28200000000000003,0
1902,Is there a tv in the image?,no,"No, there is no TV in the image.",No,True,True,0,5,1,3,1,1,0.438,0
1501,Is there a spoon in the image?,yes,"No, there is no spoon in the image.",No,False,False,0,5,0,1,4,1,0.402,0
2170,Is there a car in the image?,no,"No, there is no car in the image.",No,True,True,0,5,0,2,3,1,0.454,0
2732,Is there a chair in the image?,no,"No, there is no chair in the image.",No,True,True,0,5,1,1,3,1,0.334,0
1022,Is there a skis in the image?,no,"No, there are no skis in the image.",No,True,True,0,5,2,0,3,1,0.214,0
161,Is there a couch in the image?,yes,"Yes, there is a couch in the image.","Yes, there is a couch in the image.",True,True,0,5,0,3,2,1,0.506,0
2048,Is there a handbag in the image?,no,"No, there is no handbag in the image.",No,True,True,0,5,2,0,3,1,0.214,0
562,Is there a dining table in the image?,no,"No, there is no dining table in the image.",No,True,True,0,5,0,1,4,1,0.402,0
2238,Is there a couch in the image?,no,"No, there is no couch in the image.",No,True,True,0,10,4,0,6,1,0.214,0
596,Is there a handbag in the image?,no,"No, there is no handbag in the image.",No,True,True,0,5,1,0,4,1,0.28200000000000003,0
41,Is there a fork in the image?,yes,"Yes, there is a fork in the image.","Yes, there is a fork in the image.",True,True,0,5,1,3,1,1,0.438,0
940,Is there a car in the image?,no,"No, there is no car in the image.",No,True,True,0,5,2,0,3,1,0.214,0
2047,Is there a bird in the image?,yes,"Yes, there is a bird in the image.",No,True,False,0,5,1,0,4,1,0.28200000000000003,0
2005,Is there a bird in the image?,yes,"Yes, there is a bird in the image.","Yes, there is a bird in the image.",True,True,0,5,0,1,4,1,0.402,0
