sample_id,image_id,question,ground_truth,question_type_structural,question_type_semantic
05491615,2374257,The vehicle is in front of who?,pedestrian,query,rel
14192896,2355736,Which side of the picture is the spectator on?,right,query,attr
03433692,2340617,Are there any bottles in the image?,yes,verify,obj
0167377,2351365,Are there both helmets and motorcycles in this picture?,yes,logical,obj
09982030,2407698,What kind of food is below the vegetable near the carrots?,broth,query,rel
07598996,2375491,What is the animal that is to the right of the black container?,giraffe,query,rel
06222534,2389835,On which side is the statue?,right,query,attr
19359515,2381611,Is it indoors?,no,verify,global
03262245,2409000,Of what color are the bags to the right of the man?,black,query,attr
17397767,2378563,Is there a white truck or bus?,no,logical,obj
01417011,2412339,Which side is the helmet on?,left,query,attr
17596714,2397873,What is in front of the bushes?,train tracks,query,rel
08651263,2391908,What is the street sign on?,street light,query,rel
11293734,2391802,Is there a lamb to the left of the ball?,no,verify,rel
06566426,2359746,What is the man in?,canoe,query,rel
161065162,2349334,Who is wearing the jeans?,man,query,rel
0365933,2400350,What is the color of the placemat in the top part of the photo?,cream colored,query,attr
18168885,61533,Does she look at the ball in the top of the picture?,yes,verify,rel
10682334,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,verify,rel
06564130,2398184,What is the device that he holds?,cell phone,query,rel
16434006,1159963,What does the person that to the right of the boy wear?,blouse,query,rel
12252824,2405244,What is the color of the train to the left of the woman?,blue,query,attr
0829456,2387148,What place was the image taken at?,street,query,global
18602180,2404083,Are the clouds in the sky rainy or cloudy?,rainy,choose,attr
08337624,2394960,Which side of the image is the man on?,left,query,attr
03318431,2383905,What are the bleachers made of?,wood,query,attr
09179577,2381259,What is located on top of the skateboard?,sneakers,query,rel
09432410,2415221,What animal is striped?,cat,query,cat
19104279,2345050,What is the girl playing with?,ball,query,rel
096049,2332415,Is the woman to the left or to the right of the man that holds the racket?,right,choose,rel
03493955,2386297,Is the silver car to the left or to the right of the people that are on the right side?,left,choose,rel
03437169,2352380,On which side of the image are the nuts?,right,query,attr
06981173,2379976,What place is it?,display,query,global
10763404,1159296,Are the utensils to the right of a refrigerator?,no,verify,rel
19225232,2342134,Are there any fences or helmets?,no,logical,obj
05686508,2344393,Is the car to the left of the other car green or silver?,silver,choose,attr
08709099,2378264,Is the man to the left of the boat wearing a jacket?,no,verify,rel
091039290,2386440,Is the blue truck to the left of a person?,no,verify,rel
03581765,2406473,Is there either a small scooter or motorcycle?,no,logical,obj
03322739,2358081,Is the man to the left or to the right of the spectator on the left?,right,choose,rel
10259915,2368742,Does the sidewalk seem to be red and dirty?,no,logical,attr
0682915,2347146,Does the nose that looks black look round and small?,yes,logical,attr
13515619,2397987,What kind of furniture is to the left of the rug?,ottoman,query,rel
17560215,2359451,Who wears shoes?,man,query,rel
1972311,2387777,Is this a lamb or a cow?,lamb,choose,cat
06146373,2390480,Is the toilet to the right of the food?,yes,verify,rel
00930300,2396634,Do the shorts look black or red?,black,choose,attr
12741575,2378292,Are there any salt shakers or batteries?,no,logical,obj
09730771,2358122,What vehicle is the man in?,carriage,query,rel
04527826,2349159,Are both the cooking pot and the chair made of the same material?,yes,compare,attr
11193931,2401803,Are the remote and the floor made of the same material?,no,compare,attr
06328865,2367411,Is the green car in the bottom part or in the top of the picture?,bottom,choose,attr
05410113,498329,Which side of the image is the television on?,left,query,attr
00650121,497937,What animal is on the chair on the right side of the picture?,cat,query,rel
17949859,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,verify,rel
14669854,2337103,Are there controllers or beds?,no,logical,obj
05863853,2346071,Does the man in front of the end table appear to be standing?,no,verify,attr
133485,2409219,Are there any chairs to the right of the young child?,no,verify,rel
19954280,2406002,What vegetables are on the plate?,tomatoes,query,rel
08894679,2360703,Are there any boxes beside the device to the left of the mat?,yes,verify,rel
18229012,2402333,What is located on top of the white table?,lamp,query,rel
17459063,2413541,Which place is it?,airport,query,global
03212804,2327623,What does the person wear?,shorts,query,rel
13136918,2406090,Is the sky both blue and overcast?,no,logical,attr
17853007,2337616,Is there any horse or sheep that is not gray?,no,logical,obj
09928108,2344757,On which side is the umpire?,right,query,attr
05459303,713360,Who is carrying the bag?,lady,query,rel
0376680,2354196,Does the woman to the left of the man wear shorts?,yes,verify,rel
0529198,1592615,Are there any chairs or computers in this scene?,yes,logical,obj
00397762,2374803,What is the player that is to the left of the helmet preparing?,baseball bat,query,rel
10403875,2327830,On what kind of furniture is the cat?,table,query,rel
16488440,2321052,Which kind of appliance is to the left of the lamp?,air conditioner,query,rel
19494904,2365760,Are there both tables and couches in the picture?,yes,logical,obj
1864177,2322984,"In which part is the person, the top or the bottom?",bottom,choose,attr
14275115,2398835,Does the chair have a different color than the headband?,yes,compare,attr
01763834,2400752,What vehicles are in the street?,cars,query,rel
00283108,2330700,What's on the plate?,pizza,query,rel
14816347,2363629,Is there any bear in the image?,yes,verify,obj
14381909,2403590,Is the woman to the right or to the left of the glasses that are to the left of the train?,left,choose,rel
13764117,2401635,Are there any teddy bears on top of the bed?,no,verify,rel
09964815,2414646,Are there logoes on the oven?,no,verify,rel
05913845,2332780,What kind of furniture is it?,table,query,cat
05755315,2400761,Are there any green pillows or bridges?,yes,logical,obj
05469399,2393510,Is the man with the glasses throwing a ball?,no,verify,rel
161036696,2368963,Is the patterned curtain behind the dresser open and long?,no,logical,attr
1366354,2349328,How is the weather?,sunny,query,global
16811715,2378978,Is the sky clear or foggy?,clear,choose,attr
10882926,2385070,What do the end table and the frame have in common?,material,compare,attr
14124503,1592427,Are there either trains or trailers in this scene?,no,logical,obj
03962729,2345855,Is the white toilet to the right or to the left of the faucet?,right,choose,rel
03635273,2367211,What is in the kitchen?,cabinets,query,rel
11298977,2341585,Is the woman in front of the people using a computer?,no,verify,rel
0866588,2406152,Which type of furniture is made of wood?,computer desk,query,cat
15242425,2387376,Of which color is the sky?,dark,query,attr
07777814,2370053,Is the man to the right of the cars wearing a watch?,yes,verify,rel
01956518,2405983,Is the bright sky overcast or sunny?,sunny,choose,attr
12171112,2367977,"What is this, an oven or a dishwasher?",dishwasher,choose,cat
001009938,497933,Who stands on the skis?,boy,query,rel
02325517,2367555,Is there a cat or a dog in the photo?,no,logical,obj
131059645,2399053,What is the man on?,bench,query,rel
02591010,2320327,Is the cat healthy?,yes,verify,attr
06983021,2356227,Who in the picture is eating?,man,query,cat
00222257,2360758,Is there a couch to the left of the man the cans are to the right of?,yes,verify,rel
14524305,2407279,What is the brown bear balancing on?,log,query,rel
03150880,1593177,What is the net on?,pole,query,rel
08116986,2396469,What is the man walking on?,ground,query,rel
13430682,2413411,Do you see onions in this photograph?,no,verify,obj
051058592,2351317,What is the color of the tshirt the girl is wearing?,white,query,attr
05111627,2363282,Are there ramekins or bottles in the picture?,no,logical,obj
11139796,2344439,Is the bicycle to the right or to the left of the person that looks blonde?,right,choose,rel
141036087,2392869,What is the person holding?,surfboard,query,rel
171034612,2344782,Are there tablecloths or bowls?,no,logical,obj
11119089,2404154,Is the sauce on top of a pizza slice?,yes,verify,rel
01750921,2381128,What is the lady wearing?,pants,query,rel
17667821,2393949,Who is holding the device that looks gray and silver?,girl,query,rel
04173770,2411136,Do the paper and the liquid have a different colors?,yes,compare,attr
1573911,2384811,Does the man's hair appear to be black or light brown?,black,choose,attr
10587792,2335112,What is the bottle on?,counter,query,rel
13363918,2337535,Are there both steam and smoke?,yes,logical,obj
11354848,2382462,Does the jacket have brown color?,yes,verify,attr
11385575,2326388,What animal is this child on?,horse,query,rel
16742353,2378984,Are there both chairs and windows in the image?,no,logical,obj
07696685,2388377,Are there both a chair and a desk in this scene?,yes,logical,obj
06356032,2352718,What is the vehicle to the left of the person that is standing by the fire hydrant?,car,query,rel
15425887,2363931,Which side of the photo is the kid on?,left,query,attr
10660951,2366958,Do you see white plates or mugs?,no,logical,obj
15586374,2352617,What is located on top of the bed?,pillow,query,rel
04914252,2317381,How long is the blond hair?,short,query,attr
13425365,2412682,On which side is the bicycle?,right,query,attr
13226655,2367978,On which side of the image is the yellow vegetable?,left,query,attr
19693907,2382366,What's the man holding?,fish,query,rel
10611191,2368747,Is it outdoors?,yes,verify,global
1645076,2387991,Are there any blankets?,yes,verify,obj
15978167,2365868,What's the porch made of?,brick,query,attr
13497067,2378836,What is the pepper shaker that is to the left of the mug made of?,plastic,query,attr
05433112,2338567,Are there either any dream catchers or lamps?,yes,logical,obj
08297228,1592640,Do you think that shirt is red?,yes,verify,attr
18782434,2356933,What do the mug and the tablecloth have in common?,color,compare,attr
11524226,2415972,Are there either juice boxes or toothbrushes in the scene?,no,logical,obj
12772816,2342151,What is the appliance in the kitchen?,refrigerator,query,rel
16661127,2336505,Is the door tan or is it maroon?,maroon,choose,attr
10742293,2369432,On which side of the picture is the boat?,right,query,attr
14202781,2345598,What is the piece of clothing that is black called?,jacket,query,cat
1886024,2410380,Do you see any grass there that is brown?,yes,verify,obj
181000995,4633,What item of furniture is to the right of the fruit?,chair,query,rel
06840268,2349795,Who is riding the elephant?,guy,query,rel
041025251,2342323,Who is wearing a hat?,woman,query,rel
1167999,1575,Which place is it?,river,query,global
16350496,2365644,What clothing item is long sleeved?,jacket,query,cat
18484260,2404247,Is there either a triangular pizza or sandwich in this photo?,no,logical,obj
00706944,314,Where is the man walking?,sidewalk,query,rel
16535089,2407870,Does the motorbike on the road look black?,no,verify,attr
14389529,2410973,Are there either curtains or towels that are white?,yes,logical,obj
13726900,2375648,Are there either cabinets or towels in this scene?,yes,logical,obj
19992444,2376382,Are there any clocks to the right of the jar that is to the right of the box?,yes,verify,rel
11908666,2357279,What color is the towel on the right side of the photo?,brown,query,attr
10123004,2332332,"In which part is the flag, the top or the bottom?",top,choose,attr
14144547,2324283,What kind of vehicle is it?,car,query,cat
04869171,2361211,In which part is the small shelf?,left,query,attr
09623056,2327476,What kind of furniture is red?,table,query,cat
19501031,2394408,Are there both a door and window in the image?,no,logical,obj
17746156,2368062,What color is the shirt that the boy is in?,white,query,attr
01385341,2335783,What does the man hold onto?,pole,query,rel
11196211,2399024,What are the men to the left of the horse wearing?,cowboy hat,query,rel
15641002,2334745,Is there food to the right of the food that is lying on top of the plate?,yes,verify,rel
10230544,2416765,Do you see both a door and a window?,yes,logical,obj
11499909,2333498,Do you see both cars and umbrellas there?,yes,logical,obj
03337468,2377193,Which kind of furniture is the statue on?,bookshelf,query,rel
09569413,2414061,What animal is this fence behind of?,cat,query,rel
13368717,2411178,Is the poster above the books?,yes,verify,rel
12565565,2378833,Are there boats in the image?,no,verify,obj
19695032,2343965,Which place is it?,lake,query,global
13773559,2397981,Do you see cars or clocks there?,yes,logical,obj
10599873,2385133,How is the vehicle that is parked by the sidewalk called?,bus,query,rel
07846642,2359553,Is the man on the right side or on the left of the photo?,right,choose,attr
11183569,2365049,What is the purse on?,bench,query,rel
00612856,2358938,How large is the porcelain sink?,large,query,attr
11985230,2386099,What is on the table?,glass,query,rel
11611800,2372163,What is the table in front of?,clock,query,rel
03983167,2377682,Do you see fences to the right of the vehicle on the right?,yes,verify,rel
17387034,2357841,What kind of sign is on the post?,street sign,query,rel
15135493,2410392,What does the man read?,paper,query,rel
00296203,2414858,What is the woman carrying?,radio,query,rel
03612777,2363223,Who is petting the horse?,man,query,rel
00158976,2359433,Is the person to the right or to the left of the pink candle?,right,choose,rel
